ID	DrawDate	WinNubers	Joker
1663	20/12/2015	1,5,10,19,28	6
1662	17/12/2015	12,19,29,30,44	5
1661	13/12/2015	10,27,28,31,38	3
1660	10/12/2015	11,13,18,24,30	9
1659	06/12/2015	1,4,8,12,42	16
1658	03/12/2015	19,21,31,41,42	16
1657	29/11/2015	2,10,19,31,32	13
1656	26/11/2015	18,22,23,25,37	14
1655	22/11/2015	15,21,22,27,42	9
1654	19/11/2015	6,9,11,17,25	11
1653	15/11/2015	15,17,24,28,33	6
1652	12/11/2015	4,11,23,34,43	10
1651	08/11/2015	9,10,14,17,43	1
1650	05/11/2015	1,9,21,26,34	4
1649	01/11/2015	12,13,18,32,34	13
1648	29/10/2015	7,16,27,39,42	19
1647	25/10/2015	2,18,24,27,29	6
1646	22/10/2015	15,19,31,33,41	8
1645	18/10/2015	20,34,40,43,44	15
1644	15/10/2015	2,12,13,27,31	17
1643	11/10/2015	8,20,31,39,41	18
1642	08/10/2015	9,10,13,19,37	5
1641	04/10/2015	17,20,33,39,41	3
1640	01/10/2015	3,13,21,25,30	17
1639	27/09/2015	4,7,18,20,45	8
1638	24/09/2015	17,20,28,34,45	2
1637	20/09/2015	13,16,18,23,40	12
1636	17/09/2015	2,22,27,37,41	6
1635	13/09/2015	13,14,19,28,42	14
1634	10/09/2015	16,24,30,42,43	13
1633	06/09/2015	15,34,35,36,40	14
1632	03/09/2015	9,13,14,15,35	3
1631	30/08/2015	7,23,29,41,43	18
1630	27/08/2015	12,18,27,30,42	7
1629	23/08/2015	5,11,20,25,26	3
1628	20/08/2015	3,5,9,14,21	10
1627	16/08/2015	10,20,28,32,44	3
1626	13/08/2015	5,19,24,41,44	11
1625	09/08/2015	3,4,21,22,32	4
1624	06/08/2015	5,16,24,29,33	15
1623	02/08/2015	7,9,22,24,35	5
1622	30/07/2015	17,22,29,31,44	4
1621	26/07/2015	13,27,29,34,44	1
1620	23/07/2015	3,6,8,25,39	19
1619	19/07/2015	2,18,24,27,39	9
1618	16/07/2015	3,5,27,33,36	7
1617	12/07/2015	6,18,40,41,43	11
1616	09/07/2015	9,16,24,26,39	17
1615	05/07/2015	13,21,23,29,38	18
1614	02/07/2015	16,32,35,37,39	8
1613	28/06/2015	1,11,16,39,42	3
1612	25/06/2015	19,22,23,32,41	16
1611	21/06/2015	3,28,29,35,43	6
1610	18/06/2015	17,20,34,40,44	13
1609	14/06/2015	16,21,23,25,31	10
1608	11/06/2015	3,15,23,36,38	9
1607	07/06/2015	6,23,24,42,45	15
1606	04/06/2015	10,12,17,31,40	4
1605	31/05/2015	16,19,29,38,39	11
1604	28/05/2015	12,32,34,36,42	16
1603	24/05/2015	2,20,27,36,44	7
1602	21/05/2015	16,19,33,41,44	17
1601	17/05/2015	5,7,9,33,40	7
1600	14/05/2015	16,17,18,20,38	3
1599	10/05/2015	7,16,19,36,39	2
1598	07/05/2015	21,26,29,40,44	4
1597	03/05/2015	1,11,23,25,29	17
1596	30/04/2015	21,31,38,39,43	10
1595	26/04/2015	6,13,26,27,40	16
1594	23/04/2015	20,22,28,29,37	17
1593	19/04/2015	4,13,24,42,45	15
1592	16/04/2015	2,12,22,34,39	13
1591	11/04/2015	15,17,21,29,38	2
1590	08/04/2015	15,33,34,39,40	10
1589	05/04/2015	7,20,21,31,32	8
1588	02/04/2015	3,17,19,34,44	10
1587	29/03/2015	6,20,31,36,42	3
1586	26/03/2015	4,13,19,28,44	11
1585	22/03/2015	10,13,24,38,45	8
1584	19/03/2015	3,20,28,32,44	1
1583	15/03/2015	5,9,16,33,36	19
1582	12/03/2015	4,14,20,32,36	2
1581	08/03/2015	1,2,20,21,35	2
1580	05/03/2015	2,3,17,33,41	17
1579	01/03/2015	4,12,22,28,42	16
1578	26/02/2015	4,16,20,28,39	11
1577	22/02/2015	2,18,20,34,42	20
1576	19/02/2015	14,19,38,39,40	18
1575	15/02/2015	17,31,33,37,43	18
1574	12/02/2015	6,8,10,14,19	3
1573	08/02/2015	5,6,15,24,44	8
1572	05/02/2015	13,30,35,44,45	10
1571	01/02/2015	1,5,29,32,43	15
1570	29/01/2015	9,12,13,31,36	17
1569	25/01/2015	8,14,25,28,37	9
1568	22/01/2015	24,25,30,31,42	16
1567	18/01/2015	1,24,27,32,40	18
1566	15/01/2015	7,8,10,11,30	15
1565	11/01/2015	24,26,32,36,44	7
1564	08/01/2015	10,17,25,38,39	7
1563	04/01/2015	1,2,8,9,24	6
1562	01/01/2015	2,9,33,36,41	20
1561	28/12/2014	1,9,21,28,38	2
1560	24/12/2014	2,16,34,44,45	5
1559	21/12/2014	6,13,30,31,35	9
1558	18/12/2014	11,18,19,28,39	7
1557	14/12/2014	7,10,27,29,37	12
1556	11/12/2014	6,25,35,37,38	11
1555	07/12/2014	23,37,39,40,44	4
1554	04/12/2014	1,28,35,37,41	7
1553	30/11/2014	1,4,18,20,34	12
1552	27/11/2014	5,9,15,22,42	10
1551	23/11/2014	18,24,25,28,32	18
1550	20/11/2014	5,15,16,29,44	7
1549	16/11/2014	1,27,39,41,42	18
1548	13/11/2014	14,15,18,39,42	11
1547	09/11/2014	1,3,16,23,30	10
1546	06/11/2014	9,14,20,24,30	16
1545	02/11/2014	5,9,16,39,42	12
1544	30/10/2014	10,18,19,29,32	17
1543	26/10/2014	5,7,13,17,37	2
1542	23/10/2014	1,26,32,37,38	9
1541	19/10/2014	6,13,18,23,45	12
1540	16/10/2014	2,6,13,16,43	10
1539	12/10/2014	6,8,21,29,45	10
1538	09/10/2014	3,9,16,33,40	2
1537	05/10/2014	14,17,19,21,41	20
1536	02/10/2014	11,12,17,35,36	13
1535	28/09/2014	2,19,30,31,40	6
1534	25/09/2014	10,14,15,37,43	16
1533	21/09/2014	6,9,11,26,42	19
1532	18/09/2014	8,9,14,29,43	3
1531	14/09/2014	1,6,14,34,41	9
1530	11/09/2014	5,13,18,24,35	10
1529	07/09/2014	4,7,23,30,35	16
1528	04/09/2014	2,7,14,23,37	18
1527	31/08/2014	17,23,25,33,40	12
1526	28/08/2014	1,11,29,36,41	11
1525	24/08/2014	4,5,8,13,14	9
1524	21/08/2014	19,21,25,31,41	13
1523	17/08/2014	18,19,25,34,36	17
1522	14/08/2014	7,25,27,36,44	3
1521	10/08/2014	10,21,29,31,34	18
1520	07/08/2014	6,8,16,20,43	18
1519	03/08/2014	11,15,20,23,36	3
1518	31/07/2014	6,12,13,20,39	5
1517	27/07/2014	11,12,27,41,43	7
1516	24/07/2014	3,9,16,33,36	18
